d_selfscan,ta1,ta2,ta3,ta4,ni1,ni2,ni3,ni4,so1,so2,so3,so4,so5,so6,yrs_age,yrs_edu,d_highedu,d_female
1,5,1,1,4,5,5,1,4,2,4,1,5,4,2,42,10,1,1
0,1,4,4,4,5,5,1,5,4,5,4,4,5,4,48,9,1,1
0,5,2,1,2,5,5,1,5,4,5,1,4,4,2,58,10,1,0
1,4,4,2,4,4,4,2,2,3,4,2,4,4,5,45,6,0,1
1,5,1,1,1,5,5,1,5,1,3,1,5,5,3,53,6,0,1
0,4,2,2,2,4,4,2,4,2,2,1,4,4,5,39,9,1,1
0,4,4,4,3,4,4,3,2,2,4,2,4,4,2,40,11,1,1
0,2,4,4,4,4,3,2,5,3,2,1,5,5,5,42,2,0,1
0,3,3,1,1,5,5,5,5,2,2,1,5,5,5,57,10,1,1
0,5,2,1,2,4,3,3,4,1,2,1,4,4,3,48,10,1,0
0,4,1,1,4,4,4,1,3,1,2,1,4,5,5,44,9,1,1
1,5,1,1,1,3,3,3,3,2,2,1,2,3,3,26,9,1,0
0,3,3,1,3,3,2,5,5,2,3,1,5,5,4,54,6,0,1
1,4,4,2,2,5,5,1,5,4,4,2,5,4,5,52,6,0,1
0,5,1,1,5,5,1,5,5,5,5,5,5,5,5,28,6,0,1
0,2,4,2,4,4,4,2,4,2,5,1,2,1,1,49,6,0,1
0,4,3,1,1,5,5,1,3,1,3,1,3,4,4,32,10,1,1
0,3,1,2,2,5,5,5,3,1,1,1,1,1,1,39,9,1,1
1,5,2,2,4,5,5,1,2,1,4,1,4,4,5,49,10,1,0
0,2,5,5,5,3,3,3,2,3,4,2,3,2,3,35,9,1,0
0,5,1,1,1,5,5,2,5,1,1,1,3,5,5,45,9,1,1
1,5,1,1,1,5,5,1,3,5,5,3,4,3,1,50,3,0,0
0,5,1,1,1,5,5,1,3,1,1,1,1,1,1,35,6,0,0
0,5,1,1,1,4,4,2,4,1,2,1,2,2,2,29,10,1,0
0,5,1,1,1,4,4,2,1,1,1,1,4,4,5,41,11,1,0
0,4,2,2,2,4,4,2,4,2,5,1,5,4,4,68,9,1,0
1,5,1,1,1,5,5,1,4,3,4,3,3,4,1,47,9,1,0
1,2,4,1,5,5,5,1,5,1,2,1,5,5,5,57,9,1,1
0,3,4,1,5,5,5,3,1,1,3,1,5,5,5,35,10,1,1
1,3,1,5,5,5,5,1,2,1,2,3,5,4,5,53,12,1,0
0,5,1,1,5,3,3,1,4,1,4,1,5,5,5,29,3,0,0
1,1,1,5,5,5,5,1,1,5,5,1,4,5,4,74,10,1,0
0,5,1,1,1,5,5,1,4,4,1,1,1,1,1,34,11,1,0
1,2,4,1,2,5,5,1,5,2,4,1,5,5,5,49,6,0,1
1,4,2,1,1,5,5,1,4,1,4,1,5,4,5,57,10,1,0
1,5,1,1,1,5,5,1,3,1,1,1,5,5,5,48,9,1,1
0,5,1,1,1,5,5,1,5,1,1,1,5,5,1,50,9,1,0
0,3,5,5,5,4,3,2,5,1,2,1,1,4,3,56,6,0,1
0,1,5,4,5,5,5,1,5,1,5,1,5,5,5,67,6,0,1
1,5,5,1,1,5,5,5,5,4,4,1,5,5,3,38,10,1,0
1,5,1,1,1,5,5,4,3,1,1,1,5,5,5,55,6,0,1
1,5,5,1,1,5,5,1,5,1,1,1,5,5,5,32,6,0,0
1,3,3,1,3,4,3,3,3,4,4,1,5,4,4,39,9,1,1
1,4,5,1,1,5,5,1,5,3,5,3,4,2,1,34,10,1,0
1,5,2,1,1,5,4,1,5,3,3,1,5,4,1,63,5,0,1
1,5,1,1,1,4,4,4,4,2,5,1,1,1,1,24,6,0,0
0,5,5,1,1,5,3,5,5,5,5,5,5,5,5,49,17,1,0
